#chrom	pos	DESC	normal	a	b	c	d	e	f	g	h	i	j
chr15	38543492	BAHD1	0	0.00137	0.188	0.208	0.216	0.205	0.294	0.231	0.337	0.293	0.24
chr16	47987964	C16orf78	0	0.277	0.171	0.219	0.263	0.228	0	0.000829	0.00114	0	0.00135
chr16	57309691	GOT2	0	0.278	0.201	0.248	0.242	0.228	0.00183	0.00127	0	0.00209	0.00192
chr17	2540667	KIAA0664	0	0.377	0.2	0.25	0.156	0.242	0.00154	0.00211	0	0	0.00654
chr17	7518290	TP53	0	0.736	0.591	0.69	0.754	0.723	0.575	0.606	0.737	0.733	0.509
chr17	38940896	DHX8	0	0.754	0.59	0.7	0.744	0.699	0.586	0.577	0.733	0.706	0.502
chr18	19370663	NPC1	0	0.272	0.212	0.224	0.286	0.268	0.0016	0	0.00159	0.00274	0.00197
chr19	3774291	ZFR2	0	0.449	0.279	0.316	0.323	0.292	0.23	0.203	0.302	0.295	0.244
chr19	4167317	ANKRD24	0	0.312	0.319	0.363	0.367	0.343	0.00235	0.000964	0.0071	0	0
chr19	39502658	KIAA0355	0	0.273	0.17	0.159	0.179	0.155	0.0778	0.0639	0.0817	0.0801	0.0957
chr19	42001597	ZNF790	0	0.123	0.132	0.179	0.154	0.153	0.000923	0.000438	0.000898	0.000325	0.00346
chr19	49371622	ZNF226	0	0.338	0.307	0.334	0.361	0.344	0.0018	0.00327	0.00085	0.000283	0.00216
chr19	53332695	LIG1	0	0.327	0.351	0.377	0.445	0.379	0	0.00126	0.0104	0	0
chr19	54108230	NUCB1	0	0.434	0.362	0.383	0.48	0.406	0.000569	0.00197	0.0025	0.000365	0.00167
chr19	63498199	ZNF8	0	0.37	0.285	0.387	0.363	0.341	0.000947	0	0	0.000953	0.000594
chr2	27452869	SNX17	0	0.28	0.202	0.239	0.205	0.204	0.000997	0.00116	0.000979	0.000463	0.00199
chr2	95913840	AC073995.6-2	0	0.201	0.143	0.195	0.185	0.184	0.00155	0.00117	0.000547	0.000776	0.00116
chr2	121841706	CLASP1	0	0.252	0.199	0.23	0.202	0.239	0.161	0.187	0.223	0.216	0.181
chr2	125121921	CNTNAP5	0	0.00308	0.235	0.257	0.277	0.261	0.00118	0.000801	0	0	4.00E-04
chr20	9494947	PAK7	0	0.208	0.178	0.173	0.211	0.172	7.00E-04	0.00213	0.00109	0.000631	0.000781
chr20	33425471	UQCC	0	0.154	0.192	0.208	0.221	0.191	0.000984	0.000643	0.000785	6.00E-04	0.00121
chr20	46701380	PREX1	0	0.231	0.185	0.172	0.186	0.19	0.000688	0.000789	0	0	0.00251
chr22	35658831	CSF2RB	0	0.316	0.287	0.325	0.355	0.335	0.000773	0.0012	0.0012	0.000607	0.00339
chr22	41328889	POLDIP3	0	0.42	0.289	0.362	0.378	0.376	0.000385	0.00187	0.00183	0.00176	0
chr3	41241105	CTNNB1	0	0.279	0.202	0.251	0.27	0.248	0	0.00109	0.0023	0.000896	0.00134
chr3	109556666	HHLA2	0	0.259	0.207	0.219	0.237	0.272	0.0016	0.000989	0.00206	0.000801	0.00114
chr3	125719993	KALRN	0	0.268	0.226	0.234	0.257	0.267	0.00275	0.000369	0.0021	0	0
chr3	157905432	TIPARP	0	0.315	0.212	0.223	0.231	0.208	0.00276	0	0.0023	0.00192	0.004
chr3	166220249	SI	0	0.22	0.235	0.251	0.271	0.255	0.189	0.165	0.259	0.24	0.185
chr3	180418789	PIK3CA	0	0.00224	0	0.00307	0	0.0155	0.21	0.173	0.231	0.188	0.003
chr4	47548695	NFXL1	0	0.412	0.275	0.351	0.354	0.344	0.305	0.242	0.325	0.314	0.241
chr5	140570086	PCDHB12	0	0.262	0.0643	0.0728	0.0632	0.0709	0.000586	0.0011	0.00152	0.00126	0.00192
chr6	31192591	PSORS1C1_CDSN	0	0.00264	0.241	0.293	0.271	0.232	0.397	0.385	0.511	0.433	0.283
chr7	134929839	NUP205	0	0.158	0.137	0.137	0.171	0.161	0.00417	0.0049	0.00333	0.00248	0.00281
chr8	52483473	PXDNL	0	0.000693	0.162	0.194	0.196	0.189	0	0.00175	0	0.00188	0.00238
chr8	66798404	PDE7A	0	0.239	0.137	0.155	0.145	0.159	0.354	0.334	0.357	0.355	0.177
chr9	6555391	GLDC	0	0.359	0.314	0.321	0.516	0.447	0.00228	0.000832	0.00179	0.00155	0.00267
chr9	33024300	DNAJA1	0	0.331	0.312	0.343	0.268	0.264	0.00119	0.00142	0.000979	0.000495	0.000441
chr9	89692838	C9orf79	0	0.406	0.294	0.467	0.381	0.371	0	0	0	0	0
chrX	54973532	TRO	0	0.373	0.217	0.247	0.247	0.241	0.00217	0.00345	0.00123	0.00131	0
chrX	70237945	FOXO4	0	0.00174	0.246	0.234	0.273	0.232	0.00658	0	0	0	0.000823
